7978
p 6.51359
r 32.1116
q 33.0963
s 37.6645
q 46.4759
p 83.2947
s 89.4611
r 120.766
q 138.254
p 138.563
s 146.12
q 158.37
s 172.515
r 187.923
q 191.638
p 191.715
r 204.124
p 211.106
s 257.512
r 260.793
p 265.538
q 269.965
s 292.072
r 308.583
p 309.549
q 339.602
r 351.827
p 370.952
s 385.39
q 434.252
r 477.861
s 525.9
p 548.228
r 590.315
q 595.3
s 605.472
q 628.133
s 637.424
q 659.4
p 659.656
s 769.198
r 802.335
p 819.256
q 828.639
s 870.72
r 875.785
q 906.06
p 914.322
s 919.868
r 947.139
p 980.801
q 988.139
r 1053.74
s 1069.46
q 1087.34
p 1118.26
r 1138.42
p 1226.34
r 1236.25
s 1259.19
p 1280.82
q 1364.35
r 1376.18
p 1384.86
s 1414.5
r 1474.58
p 1479.8
q 1506.81
s 1518.59
r 1571.28
q 1609.95
s 1617.06
p 1657.85
q 1683.01
s 1715.45
q 1777.42
s 1838.76
r 1905.32
q 1923.07
s 1965.12
q 1968.02
p 1995.99
r 2057.9
p 2068.69
s 2148.34
r 2161.5
q 2167.5
s 2170.4
p 2175.54
q 2182.74
r 2215.74
s 2256.66
p 2266.53
r 2277.36
p 2285.24
q 2295.26
r 2308.31
s 2313.2
p 2325.49
r 2330.13
q 2330.49
p 2358.89
r 2364.57
p 2369.88
r 2404.75
p 2409.44
s 2409.57
q 2410.22
r 2422.54
s 2439.92
q 2441.61
p 2455.53
r 2457
s 2460.39
q 2478.48
s 2504.56
q 2509.65
p 2565.64
s 2579.01
r 2584.2
q 2614.32
p 2628.93
r 2646.88
s 2663.6
q 2672.43
s 2679.61
p 2694.29
r 2697.23
q 2727.69
p 2757.38
s 2804.68
r 2821.56
p 2828.74
q 2842.14
s 2842.79
q 2851.17
r 2879.28
s 2881.62
q 2943.23
s 2979.33
p 2996.05
q 3018.68
s 3031.79
q 3065.13
s 3078.26
q 3084.43
r 3095.41
p 3101.54
s 3112.06
q 3121.46
s 3159.63
r 3161.55
q 3167.1
p 3168.57
r 3172.65
s 3174.37
p 3211.39
